wo_item_id,work_order_id,material_code,description,category,quantity,unit,target_unit_price_usd,required_by_date,preferred_vendor_category
WO-2024-0056-I01,WO-2024-0056,RAW-4403,Copper Busbar 40×4mm,Raw Materials,51,m,18.07,2024-06-14,Raw Materials
WO-2024-0056-I02,WO-2024-0056,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,77,pcs,210.42,2024-06-13,Mechanical Parts
WO-2024-0056-I03,WO-2024-0056,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,74,pcs,1630.42,2024-06-08,Electrical Components
WO-2024-0056-I04,WO-2024-0056,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,103,pcs,101.02,2024-06-15,Electrical Components
WO-2024-0056-I05,WO-2024-0056,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,98,kg,3.85,2024-06-07,Mechanical Parts
WO-2024-0056-I06,WO-2024-0056,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,95,kg,2.73,2024-06-08,Raw Materials
WO-2024-0057-I01,WO-2024-0057,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,89,pcs,26.79,2024-03-04,Mechanical Parts
WO-2024-0057-I02,WO-2024-0057,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,59,MT,753.78,2024-02-27,Raw Materials
WO-2024-0057-I03,WO-2024-0057,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,14,kg,3.6,2024-02-29,Mechanical Parts
WO-2024-0057-I04,WO-2024-0057,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,81,pcs,227.33,2024-03-07,Mechanical Parts
WO-2024-0057-I05,WO-2024-0057,RAW-4403,Copper Busbar 40×4mm,Raw Materials,56,m,19.81,2024-02-26,Raw Materials
WO-2024-0058-I01,WO-2024-0058,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,26,pcs,103.84,2024-03-09,Electrical Components
WO-2024-0058-I02,WO-2024-0058,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,10,MT,691.89,2024-03-13,Raw Materials
WO-2024-0058-I03,WO-2024-0058,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,87,pcs,160.48,2024-03-08,Mechanical Parts
WO-2024-0058-I04,WO-2024-0058,RAW-4403,Copper Busbar 40×4mm,Raw Materials,56,m,23.0,2024-03-14,Raw Materials
WO-2024-0058-I05,WO-2024-0058,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,47,pcs,244.82,2024-03-10,Mechanical Parts
WO-2024-0058-I06,WO-2024-0058,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,60,pcs,1605.12,2024-03-17,Electrical Components
WO-2024-0059-I01,WO-2024-0059,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,55,pcs,98.2,2024-11-17,Electrical Components
WO-2024-0059-I02,WO-2024-0059,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,91,kg,3.46,2024-11-16,Raw Materials
WO-2024-0059-I03,WO-2024-0059,RAW-4405,HDPE Rod 50mm dia,Raw Materials,69,m,11.95,2024-11-14,Raw Materials
WO-2024-0059-I04,WO-2024-0059,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,8,pcs,230.44,2024-11-20,Mechanical Parts
WO-2024-0059-I05,WO-2024-0059,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,42,pcs,16.09,2024-11-15,Electrical Components
WO-2024-0059-I06,WO-2024-0059,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,15,pcs,1566.47,2024-11-16,Electrical Components
WO-2024-0060-I01,WO-2024-0060,RAW-4403,Copper Busbar 40×4mm,Raw Materials,65,m,18.17,2024-07-31,Raw Materials
WO-2024-0060-I02,WO-2024-0060,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,97,pcs,245.98,2024-08-06,Mechanical Parts
WO-2024-0060-I03,WO-2024-0060,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,45,pcs,349.58,2024-08-02,Electrical Components
WO-2024-0060-I04,WO-2024-0060,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,10,pcs,18.67,2024-08-01,Electrical Components
WO-2024-0060-I05,WO-2024-0060,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,19,pcs,1666.07,2024-07-27,Electrical Components
WO-2024-0061-I01,WO-2024-0061,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,25,pcs,357.29,2024-12-29,Electrical Components
WO-2024-0061-I02,WO-2024-0061,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,59,pcs,40.43,2025-01-02,Mechanical Parts
WO-2024-0061-I03,WO-2024-0061,RAW-4405,HDPE Rod 50mm dia,Raw Materials,34,m,15.34,2025-01-06,Raw Materials
WO-2024-0062-I01,WO-2024-0062,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,80,pcs,379.67,2025-01-19,Mechanical Parts
WO-2024-0062-I02,WO-2024-0062,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,5,kg,3.43,2025-01-13,Raw Materials
WO-2024-0062-I03,WO-2024-0062,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,31,pcs,100.11,2025-01-19,Electrical Components
WO-2024-0062-I04,WO-2024-0062,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,95,pcs,250.63,2025-01-18,Mechanical Parts
WO-2024-0062-I05,WO-2024-0062,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,13,pcs,18.18,2025-01-14,Electrical Components
WO-2024-0063-I01,WO-2024-0063,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,86,pcs,149.59,2024-08-07,Mechanical Parts
WO-2024-0063-I02,WO-2024-0063,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,54,kg,3.86,2024-08-01,Mechanical Parts
WO-2024-0063-I03,WO-2024-0063,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,80,MT,668.5,2024-07-29,Raw Materials
WO-2024-0063-I04,WO-2024-0063,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,50,pcs,18.61,2024-08-04,Electrical Components
WO-2024-0063-I05,WO-2024-0063,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,84,pcs,352.93,2024-08-07,Electrical Components
WO-2024-0064-I01,WO-2024-0064,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,44,pcs,1554.43,2024-06-15,Electrical Components
WO-2024-0064-I02,WO-2024-0064,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,52,pcs,171.09,2024-06-16,Mechanical Parts
WO-2024-0064-I03,WO-2024-0064,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,70,pcs,231.86,2024-06-22,Mechanical Parts
WO-2024-0065-I01,WO-2024-0065,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,93,pcs,18.87,2024-09-03,Electrical Components
WO-2024-0065-I02,WO-2024-0065,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,27,MT,715.06,2024-09-03,Raw Materials
WO-2024-0065-I03,WO-2024-0065,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,67,pcs,348.36,2024-09-09,Electrical Components
WO-2024-0066-I01,WO-2024-0066,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,109,pcs,386.01,2024-10-01,Mechanical Parts
WO-2024-0066-I02,WO-2024-0066,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,76,pcs,16.21,2024-09-29,Electrical Components
WO-2024-0066-I03,WO-2024-0066,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,68,pcs,31.9,2024-09-28,Mechanical Parts
WO-2024-0066-I04,WO-2024-0066,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,67,pcs,215.17,2024-10-02,Mechanical Parts
WO-2024-0067-I01,WO-2024-0067,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,33,kg,3.59,2024-04-03,Mechanical Parts
WO-2024-0067-I02,WO-2024-0067,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,26,pcs,415.16,2024-03-28,Mechanical Parts
WO-2024-0067-I03,WO-2024-0067,RAW-4405,HDPE Rod 50mm dia,Raw Materials,77,m,15.0,2024-03-24,Raw Materials
WO-2024-0068-I01,WO-2024-0068,RAW-4403,Copper Busbar 40×4mm,Raw Materials,110,m,24.38,2024-04-12,Raw Materials
WO-2024-0068-I02,WO-2024-0068,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,102,pcs,398.08,2024-04-12,Electrical Components
WO-2024-0068-I03,WO-2024-0068,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,74,pcs,1674.9,2024-04-12,Electrical Components
WO-2024-0068-I04,WO-2024-0068,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,59,kg,3.93,2024-04-13,Raw Materials
WO-2024-0069-I01,WO-2024-0069,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,104,kg,4.2,2024-06-20,Mechanical Parts
WO-2024-0069-I02,WO-2024-0069,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,31,pcs,1770.49,2024-06-14,Electrical Components
WO-2024-0069-I03,WO-2024-0069,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,80,pcs,162.37,2024-06-17,Mechanical Parts
WO-2024-0069-I04,WO-2024-0069,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,115,pcs,18.78,2024-06-14,Electrical Components
WO-2024-0069-I05,WO-2024-0069,RAW-4403,Copper Busbar 40×4mm,Raw Materials,85,m,21.22,2024-06-17,Raw Materials
WO-2024-0071-I01,WO-2024-0071,RAW-4405,HDPE Rod 50mm dia,Raw Materials,40,m,16.09,2024-12-05,Raw Materials
WO-2024-0071-I02,WO-2024-0071,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,21,MT,666.89,2024-12-10,Raw Materials
WO-2024-0071-I03,WO-2024-0071,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,21,pcs,146.4,2024-12-06,Mechanical Parts
WO-2024-0071-I04,WO-2024-0071,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,96,pcs,32.99,2024-12-13,Mechanical Parts
WO-2024-0071-I05,WO-2024-0071,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,36,pcs,99.96,2024-12-10,Electrical Components
WO-2024-0071-I06,WO-2024-0071,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,91,pcs,397.22,2024-12-12,Mechanical Parts
WO-2024-0072-I01,WO-2024-0072,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,70,pcs,17.75,2024-06-11,Electrical Components
WO-2024-0072-I02,WO-2024-0072,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,93,pcs,178.93,2024-06-12,Mechanical Parts
WO-2024-0072-I03,WO-2024-0072,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,52,MT,728.13,2024-06-12,Raw Materials
WO-2024-0072-I04,WO-2024-0072,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,67,kg,3.71,2024-06-11,Raw Materials
WO-2024-0072-I05,WO-2024-0072,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,5,pcs,99.85,2024-06-10,Electrical Components
WO-2024-0073-I01,WO-2024-0073,RAW-4403,Copper Busbar 40×4mm,Raw Materials,55,m,18.51,2024-10-14,Raw Materials
WO-2024-0073-I02,WO-2024-0073,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,59,pcs,358.69,2024-10-14,Electrical Components
WO-2024-0074-I01,WO-2024-0074,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,114,pcs,338.15,2025-04-23,Electrical Components
WO-2024-0074-I02,WO-2024-0074,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,48,pcs,123.37,2025-04-17,Electrical Components
WO-2024-0074-I03,WO-2024-0074,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,102,pcs,28.44,2025-04-17,Mechanical Parts
WO-2024-0074-I04,WO-2024-0074,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,17,kg,4.41,2025-04-27,Raw Materials
WO-2024-0076-I01,WO-2024-0076,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,95,pcs,84.57,2024-09-08,Electrical Components
WO-2024-0076-I02,WO-2024-0076,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,32,MT,707.76,2024-09-14,Raw Materials
WO-2024-0076-I03,WO-2024-0076,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,21,pcs,154.68,2024-09-10,Mechanical Parts
WO-2024-0078-I01,WO-2024-0078,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,6,pcs,166.49,2025-03-25,Mechanical Parts
WO-2024-0078-I02,WO-2024-0078,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,26,pcs,375.82,2025-03-25,Electrical Components
WO-2024-0078-I03,WO-2024-0078,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,97,pcs,101.2,2025-03-27,Electrical Components
WO-2024-0079-I01,WO-2024-0079,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,101,pcs,135.17,2024-09-25,Mechanical Parts
WO-2024-0079-I02,WO-2024-0079,RAW-4405,HDPE Rod 50mm dia,Raw Materials,98,m,14.51,2024-09-27,Raw Materials
WO-2024-0079-I03,WO-2024-0079,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,59,pcs,31.34,2024-09-23,Mechanical Parts
WO-2024-0081-I01,WO-2024-0081,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,105,pcs,397.46,2024-04-26,Electrical Components
WO-2024-0081-I02,WO-2024-0081,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,35,pcs,214.39,2024-04-24,Mechanical Parts
WO-2024-0081-I03,WO-2024-0081,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,19,kg,3.03,2024-04-26,Raw Materials
WO-2024-0081-I04,WO-2024-0081,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,86,pcs,97.53,2024-05-02,Electrical Components
WO-2024-0081-I05,WO-2024-0081,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,72,kg,4.45,2024-05-03,Mechanical Parts
WO-2024-0081-I06,WO-2024-0081,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,6,pcs,383.51,2024-04-25,Mechanical Parts
WO-2024-0082-I01,WO-2024-0082,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,103,pcs,314.39,2025-05-12,Electrical Components
WO-2024-0082-I02,WO-2024-0082,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,80,MT,627.0,2025-05-04,Raw Materials
WO-2024-0082-I03,WO-2024-0082,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,38,pcs,28.81,2025-05-12,Mechanical Parts
WO-2024-0082-I04,WO-2024-0082,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,12,pcs,21.58,2025-05-04,Electrical Components
WO-2024-0083-I01,WO-2024-0083,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,73,pcs,91.48,2025-01-16,Electrical Components
WO-2024-0083-I02,WO-2024-0083,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,24,kg,2.96,2025-01-15,Raw Materials
WO-2024-0083-I03,WO-2024-0083,RAW-4405,HDPE Rod 50mm dia,Raw Materials,44,m,11.26,2025-01-13,Raw Materials
WO-2024-0083-I04,WO-2024-0083,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,31,pcs,172.93,2025-01-06,Mechanical Parts
WO-2024-0083-I05,WO-2024-0083,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,24,MT,722.02,2025-01-08,Raw Materials
WO-2024-0084-I01,WO-2024-0084,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,12,kg,2.9,2025-02-19,Raw Materials
WO-2024-0084-I02,WO-2024-0084,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,60,pcs,81.38,2025-02-15,Electrical Components
WO-2024-0084-I03,WO-2024-0084,RAW-4405,HDPE Rod 50mm dia,Raw Materials,83,m,14.48,2025-02-13,Raw Materials
WO-2024-0084-I04,WO-2024-0084,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,44,pcs,242.04,2025-02-13,Mechanical Parts
WO-2024-0085-I01,WO-2024-0085,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,68,kg,3.37,2024-03-22,Raw Materials
WO-2024-0085-I02,WO-2024-0085,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,71,pcs,371.07,2024-03-20,Mechanical Parts
WO-2024-0085-I03,WO-2024-0085,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,110,pcs,36.32,2024-03-15,Mechanical Parts
WO-2024-0086-I01,WO-2024-0086,RAW-4403,Copper Busbar 40×4mm,Raw Materials,47,m,24.88,2025-03-09,Raw Materials
WO-2024-0086-I02,WO-2024-0086,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,39,pcs,408.25,2025-03-10,Mechanical Parts
WO-2024-0087-I01,WO-2024-0087,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,114,pcs,18.52,2024-11-11,Electrical Components
WO-2024-0087-I02,WO-2024-0087,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,52,pcs,336.2,2024-11-06,Electrical Components
WO-2024-0087-I03,WO-2024-0087,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,103,pcs,1562.44,2024-11-13,Electrical Components
WO-2024-0087-I04,WO-2024-0087,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,78,pcs,393.12,2024-11-08,Mechanical Parts
WO-2024-0087-I05,WO-2024-0087,RAW-4405,HDPE Rod 50mm dia,Raw Materials,19,m,12.74,2024-11-05,Raw Materials
WO-2024-0088-I01,WO-2024-0088,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,54,pcs,383.74,2025-05-03,Mechanical Parts
WO-2024-0088-I02,WO-2024-0088,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,27,pcs,18.88,2025-05-06,Electrical Components
WO-2024-0088-I03,WO-2024-0088,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,114,pcs,1569.42,2025-05-05,Electrical Components
WO-2024-0089-I01,WO-2024-0089,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,39,pcs,235.71,2024-08-25,Mechanical Parts
WO-2024-0089-I02,WO-2024-0089,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,78,pcs,91.1,2024-08-20,Electrical Components
WO-2024-0089-I03,WO-2024-0089,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,69,kg,3.19,2024-08-20,Raw Materials
WO-2024-0089-I04,WO-2024-0089,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,11,pcs,1547.33,2024-08-26,Electrical Components
WO-2024-0090-I01,WO-2024-0090,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,16,kg,4.22,2024-08-02,Raw Materials
WO-2024-0090-I02,WO-2024-0090,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,6,kg,3.4,2024-07-28,Mechanical Parts
WO-2024-0090-I03,WO-2024-0090,RAW-4403,Copper Busbar 40×4mm,Raw Materials,42,m,20.88,2024-07-22,Raw Materials
WO-2024-0090-I04,WO-2024-0090,RAW-4405,HDPE Rod 50mm dia,Raw Materials,43,m,15.78,2024-08-02,Raw Materials
WO-2024-0090-I05,WO-2024-0090,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,36,pcs,1782.89,2024-07-30,Electrical Components
WO-2024-0091-I01,WO-2024-0091,RAW-4403,Copper Busbar 40×4mm,Raw Materials,8,m,19.69,2025-02-02,Raw Materials
WO-2024-0091-I02,WO-2024-0091,RAW-4405,HDPE Rod 50mm dia,Raw Materials,49,m,14.22,2025-02-10,Raw Materials
WO-2024-0091-I03,WO-2024-0091,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,93,pcs,245.69,2025-02-04,Mechanical Parts
WO-2024-0091-I04,WO-2024-0091,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,47,pcs,28.17,2025-02-05,Mechanical Parts
WO-2024-0091-I05,WO-2024-0091,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,89,pcs,391.0,2025-02-06,Mechanical Parts
WO-2024-0091-I06,WO-2024-0091,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,99,pcs,108.69,2025-02-12,Electrical Components
WO-2024-0092-I01,WO-2024-0092,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,10,pcs,385.24,2024-06-23,Mechanical Parts
WO-2024-0092-I02,WO-2024-0092,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,119,pcs,35.16,2024-06-22,Mechanical Parts
WO-2024-0092-I03,WO-2024-0092,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,57,kg,3.45,2024-06-26,Raw Materials
WO-2024-0092-I04,WO-2024-0092,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,52,kg,3.49,2024-06-29,Mechanical Parts
WO-2024-0092-I05,WO-2024-0092,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,100,pcs,136.02,2024-07-01,Mechanical Parts
WO-2024-0093-I01,WO-2024-0093,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,12,pcs,105.8,2025-01-16,Electrical Components
WO-2024-0093-I02,WO-2024-0093,RAW-4405,HDPE Rod 50mm dia,Raw Materials,21,m,12.16,2025-01-21,Raw Materials
WO-2024-0094-I01,WO-2024-0094,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,14,pcs,1774.58,2025-05-05,Electrical Components
WO-2024-0094-I02,WO-2024-0094,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,22,pcs,19.22,2025-05-03,Electrical Components
WO-2024-0094-I03,WO-2024-0094,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,79,kg,3.14,2025-05-02,Mechanical Parts
WO-2024-0094-I04,WO-2024-0094,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,18,pcs,198.64,2025-05-02,Mechanical Parts
WO-2024-0095-I01,WO-2024-0095,RAW-4403,Copper Busbar 40×4mm,Raw Materials,64,m,20.28,2024-04-26,Raw Materials
WO-2024-0095-I02,WO-2024-0095,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,20,pcs,203.97,2024-04-26,Mechanical Parts
WO-2024-0095-I03,WO-2024-0095,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,108,pcs,19.62,2024-05-01,Electrical Components
WO-2024-0095-I04,WO-2024-0095,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,110,kg,3.93,2024-04-26,Mechanical Parts
WO-2024-0096-I01,WO-2024-0096,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,50,pcs,142.99,2025-04-29,Mechanical Parts
WO-2024-0096-I02,WO-2024-0096,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,11,kg,3.49,2025-04-22,Raw Materials
WO-2024-0096-I03,WO-2024-0096,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,38,pcs,244.66,2025-04-28,Mechanical Parts
WO-2024-0097-I01,WO-2024-0097,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,107,kg,3.61,2024-09-25,Raw Materials
WO-2024-0097-I02,WO-2024-0097,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,20,pcs,300.24,2024-09-26,Electrical Components
WO-2024-0097-I03,WO-2024-0097,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,111,pcs,243.12,2024-09-17,Mechanical Parts
WO-2024-0097-I04,WO-2024-0097,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,33,pcs,149.89,2024-09-21,Mechanical Parts
WO-2024-0097-I05,WO-2024-0097,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,110,pcs,16.26,2024-09-26,Electrical Components
WO-2024-0097-I06,WO-2024-0097,RAW-4405,HDPE Rod 50mm dia,Raw Materials,92,m,14.11,2024-09-16,Raw Materials
WO-2024-0098-I01,WO-2024-0098,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,30,pcs,403.38,2024-12-20,Mechanical Parts
WO-2024-0098-I02,WO-2024-0098,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,61,pcs,160.32,2024-12-20,Mechanical Parts
WO-2024-0099-I01,WO-2024-0099,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,11,pcs,376.65,2025-03-13,Mechanical Parts
WO-2024-0099-I02,WO-2024-0099,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,78,pcs,15.74,2025-03-13,Electrical Components
WO-2024-0101-I01,WO-2024-0101,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,118,pcs,104.7,2024-07-15,Electrical Components
WO-2024-0101-I02,WO-2024-0101,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,36,pcs,223.32,2024-07-21,Mechanical Parts
WO-2024-0101-I03,WO-2024-0101,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,107,MT,747.84,2024-07-19,Raw Materials
WO-2024-0102-I01,WO-2024-0102,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,69,pcs,367.53,2025-02-11,Electrical Components
WO-2024-0102-I02,WO-2024-0102,RAW-4403,Copper Busbar 40×4mm,Raw Materials,39,m,18.31,2025-02-17,Raw Materials
WO-2024-0102-I03,WO-2024-0102,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,45,pcs,16.6,2025-02-09,Electrical Components
WO-2024-0102-I04,WO-2024-0102,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,8,pcs,1702.04,2025-02-13,Electrical Components
WO-2024-0102-I05,WO-2024-0102,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,104,pcs,93.04,2025-02-13,Electrical Components
WO-2024-0103-I01,WO-2024-0103,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,35,pcs,149.41,2025-03-13,Mechanical Parts
WO-2024-0103-I02,WO-2024-0103,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,109,pcs,244.05,2025-03-15,Mechanical Parts
WO-2024-0103-I03,WO-2024-0103,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,99,MT,646.23,2025-03-19,Raw Materials
WO-2024-0104-I01,WO-2024-0104,RAW-4405,HDPE Rod 50mm dia,Raw Materials,35,m,15.7,2025-03-10,Raw Materials
WO-2024-0104-I02,WO-2024-0104,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,108,kg,4.42,2025-03-16,Raw Materials
WO-2024-0104-I03,WO-2024-0104,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,50,pcs,40.55,2025-03-06,Mechanical Parts
WO-2024-0104-I04,WO-2024-0104,RAW-4403,Copper Busbar 40×4mm,Raw Materials,8,m,22.34,2025-03-10,Raw Materials
WO-2024-0105-I01,WO-2024-0105,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,27,pcs,237.48,2024-10-23,Mechanical Parts
WO-2024-0105-I02,WO-2024-0105,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,16,kg,3.86,2024-10-16,Raw Materials
WO-2024-0105-I03,WO-2024-0105,RAW-4403,Copper Busbar 40×4mm,Raw Materials,82,m,18.09,2024-10-20,Raw Materials
