so_line_id,sales_order_id,line_no,material_code,description,category,quantity,unit,unit_price_usd,line_value_usd
SO-2024-0054-L02,SO-2024-0054,2,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,61,pcs,416.64,25415.04
SO-2024-0054-L03,SO-2024-0054,3,RAW-4403,Copper Busbar 40×4mm,Raw Materials,28,m,25.98,727.44
SO-2024-0054-L04,SO-2024-0054,4,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,60,pcs,36.89,2213.4
SO-2024-0055-L01,SO-2024-0055,1,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,47,pcs,1773.49,83354.03
SO-2024-0055-L02,SO-2024-0055,2,RAW-4405,HDPE Rod 50mm dia,Raw Materials,68,m,13.73,933.64
SO-2024-0055-L03,SO-2024-0055,3,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,56,MT,763.22,42740.32
SO-2024-0055-L04,SO-2024-0055,4,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,75,pcs,146.28,10971.0
SO-2024-0055-L05,SO-2024-0055,5,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,16,pcs,32.4,518.4
SO-2024-0056-L01,SO-2024-0056,1,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,11,kg,4.01,44.11
SO-2024-0056-L02,SO-2024-0056,2,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,51,pcs,404.91,20650.41
SO-2024-0056-L03,SO-2024-0056,3,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,68,MT,746.29,50747.72
SO-2024-0056-L04,SO-2024-0056,4,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,102,pcs,344.13,35101.26
SO-2024-0056-L05,SO-2024-0056,5,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,39,pcs,18.39,717.21
SO-2024-0056-L06,SO-2024-0056,6,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,41,pcs,99.83,4093.03
SO-2024-0057-L01,SO-2024-0057,1,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,75,kg,3.85,288.75
SO-2024-0057-L02,SO-2024-0057,2,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,33,pcs,419.38,13839.54
SO-2024-0057-L03,SO-2024-0057,3,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,19,pcs,398.46,7570.74
SO-2024-0058-L01,SO-2024-0058,1,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,111,pcs,378.6,42024.6
SO-2024-0058-L02,SO-2024-0058,2,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,65,kg,3.12,202.8
SO-2024-0058-L03,SO-2024-0058,3,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,75,kg,3.43,257.25
SO-2024-0058-L04,SO-2024-0058,4,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,29,pcs,112.89,3273.81
SO-2024-0059-L01,SO-2024-0059,1,RAW-4403,Copper Busbar 40×4mm,Raw Materials,105,m,22.06,2316.3
SO-2024-0059-L02,SO-2024-0059,2,RAW-4405,HDPE Rod 50mm dia,Raw Materials,110,m,12.02,1322.2
SO-2024-0059-L03,SO-2024-0059,3,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,97,pcs,96.06,9317.82
SO-2024-0059-L04,SO-2024-0059,4,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,80,pcs,1823.98,145918.4
SO-2024-0060-L01,SO-2024-0060,1,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,63,pcs,21.46,1351.98
SO-2024-0060-L02,SO-2024-0060,2,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,116,pcs,1706.6,197965.6
SO-2024-0060-L03,SO-2024-0060,3,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,94,kg,4.06,381.64
SO-2024-0060-L04,SO-2024-0060,4,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,54,pcs,358.68,19368.72
SO-2024-0060-L05,SO-2024-0060,5,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,104,kg,3.27,340.08
SO-2024-0060-L06,SO-2024-0060,6,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,45,pcs,108.11,4864.95
SO-2024-0061-L01,SO-2024-0061,1,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,69,pcs,21.72,1498.68
SO-2024-0061-L02,SO-2024-0061,2,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,47,pcs,414.79,19495.13
SO-2024-0061-L03,SO-2024-0061,3,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,116,pcs,39.83,4620.28
SO-2024-0062-L01,SO-2024-0062,1,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,24,pcs,90.02,2160.48
SO-2024-0062-L02,SO-2024-0062,2,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,105,kg,4.87,511.35
SO-2024-0062-L03,SO-2024-0062,3,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,48,MT,746.09,35812.32
SO-2024-0063-L01,SO-2024-0063,1,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,9,pcs,104.67,942.03
SO-2024-0063-L02,SO-2024-0063,2,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,35,pcs,1839.35,64377.25
SO-2024-0063-L03,SO-2024-0063,3,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,41,MT,779.77,31970.57
SO-2024-0063-L04,SO-2024-0063,4,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,100,kg,2.98,298.0
SO-2024-0063-L05,SO-2024-0063,5,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,17,pcs,20.08,341.36
SO-2024-0063-L06,SO-2024-0063,6,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,95,pcs,409.81,38931.95
SO-2024-0064-L01,SO-2024-0064,1,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,12,pcs,1738.01,20856.12
SO-2024-0064-L02,SO-2024-0064,2,RAW-4403,Copper Busbar 40×4mm,Raw Materials,52,m,21.45,1115.4
SO-2024-0065-L01,SO-2024-0065,1,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,116,pcs,33.36,3869.76
SO-2024-0065-L02,SO-2024-0065,2,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,92,pcs,153.43,14115.56
SO-2024-0065-L03,SO-2024-0065,3,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,79,pcs,100.01,7900.79
SO-2024-0066-L01,SO-2024-0066,1,RAW-4405,HDPE Rod 50mm dia,Raw Materials,64,m,17.41,1114.24
SO-2024-0066-L02,SO-2024-0066,2,RAW-4403,Copper Busbar 40×4mm,Raw Materials,91,m,22.37,2035.67
SO-2024-0067-L01,SO-2024-0067,1,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,54,kg,3.67,198.18
SO-2024-0067-L02,SO-2024-0067,2,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,18,kg,3.58,64.44
SO-2024-0067-L03,SO-2024-0067,3,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,78,pcs,16.87,1315.86
SO-2024-0067-L04,SO-2024-0067,4,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,42,kg,4.89,205.38
SO-2024-0067-L05,SO-2024-0067,5,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,42,pcs,211.1,8866.2
SO-2024-0068-L01,SO-2024-0068,1,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,33,kg,3.47,114.51
SO-2024-0068-L02,SO-2024-0068,2,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,84,pcs,16.01,1344.84
SO-2024-0068-L03,SO-2024-0068,3,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,101,kg,4.35,439.35
SO-2024-0068-L04,SO-2024-0068,4,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,89,pcs,244.04,21719.56
SO-2024-0068-L05,SO-2024-0068,5,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,22,pcs,116.99,2573.78
SO-2024-0068-L06,SO-2024-0068,6,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,120,pcs,1838.24,220588.8
SO-2024-0069-L01,SO-2024-0069,1,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,100,pcs,1774.65,177465.0
SO-2024-0069-L02,SO-2024-0069,2,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,30,kg,3.02,90.6
SO-2024-0069-L03,SO-2024-0069,3,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,74,pcs,40.27,2979.98
SO-2024-0069-L04,SO-2024-0069,4,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,51,pcs,163.58,8342.58
SO-2024-0069-L05,SO-2024-0069,5,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,39,kg,4.53,176.67
SO-2024-0069-L06,SO-2024-0069,6,RAW-4405,HDPE Rod 50mm dia,Raw Materials,37,m,17.48,646.76
SO-2024-0070-L01,SO-2024-0070,1,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,23,pcs,20.03,460.69
SO-2024-0070-L02,SO-2024-0070,2,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,33,pcs,175.1,5778.3
SO-2024-0071-L01,SO-2024-0071,1,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,38,pcs,163.78,6223.64
SO-2024-0071-L02,SO-2024-0071,2,RAW-4403,Copper Busbar 40×4mm,Raw Materials,63,m,20.95,1319.85
SO-2024-0071-L03,SO-2024-0071,3,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,100,pcs,106.15,10615.0
SO-2024-0071-L04,SO-2024-0071,4,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,79,pcs,395.24,31223.96
SO-2024-0072-L01,SO-2024-0072,1,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,33,pcs,405.91,13395.03
SO-2024-0072-L02,SO-2024-0072,2,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,86,pcs,123.83,10649.38
SO-2024-0072-L03,SO-2024-0072,3,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,94,pcs,364.18,34232.92
SO-2024-0072-L04,SO-2024-0072,4,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,57,pcs,1685.0,96045.0
SO-2024-0072-L05,SO-2024-0072,5,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,10,kg,4.84,48.4
SO-2024-0073-L01,SO-2024-0073,1,RAW-4405,HDPE Rod 50mm dia,Raw Materials,54,m,14.72,794.88
SO-2024-0073-L02,SO-2024-0073,2,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,90,pcs,415.95,37435.5
SO-2024-0073-L03,SO-2024-0073,3,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,94,pcs,41.24,3876.56
SO-2024-0074-L01,SO-2024-0074,1,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,40,MT,692.94,27717.6
SO-2024-0074-L02,SO-2024-0074,2,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,52,pcs,152.6,7935.2
SO-2024-0074-L03,SO-2024-0074,3,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,61,pcs,21.6,1317.6
SO-2024-0074-L04,SO-2024-0074,4,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,114,pcs,107.69,12276.66
SO-2024-0074-L05,SO-2024-0074,5,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,92,pcs,97.92,9008.64
SO-2024-0075-L01,SO-2024-0075,1,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,16,pcs,168.2,2691.2
SO-2024-0075-L02,SO-2024-0075,2,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,87,kg,4.5,391.5
SO-2024-0075-L03,SO-2024-0075,3,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,7,pcs,14.4,100.8
SO-2024-0076-L01,SO-2024-0076,1,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,75,kg,4.03,302.25
SO-2024-0076-L02,SO-2024-0076,2,RAW-4403,Copper Busbar 40×4mm,Raw Materials,32,m,24.5,784.0
SO-2024-0077-L01,SO-2024-0077,1,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,37,kg,4.68,173.16
SO-2024-0077-L02,SO-2024-0077,2,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,19,pcs,37.25,707.75
SO-2024-0077-L03,SO-2024-0077,3,RAW-4405,HDPE Rod 50mm dia,Raw Materials,8,m,12.79,102.32
SO-2024-0077-L04,SO-2024-0077,4,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,50,pcs,403.2,20160.0
SO-2024-0078-L01,SO-2024-0078,1,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,72,pcs,384.55,27687.6
SO-2024-0078-L02,SO-2024-0078,2,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,13,pcs,34.67,450.71
SO-2024-0078-L03,SO-2024-0078,3,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,104,kg,3.23,335.92
SO-2024-0078-L04,SO-2024-0078,4,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,80,pcs,90.94,7275.2
SO-2024-0079-L01,SO-2024-0079,1,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,113,kg,3.84,433.92
SO-2024-0079-L02,SO-2024-0079,2,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,92,pcs,14.86,1367.12
SO-2024-0079-L03,SO-2024-0079,3,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,96,MT,771.87,74099.52
SO-2024-0079-L04,SO-2024-0079,4,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,14,pcs,415.97,5823.58
SO-2024-0079-L05,SO-2024-0079,5,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,46,kg,3.45,158.7
SO-2024-0079-L06,SO-2024-0079,6,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,13,kg,3.94,51.22
SO-2024-0080-L01,SO-2024-0080,1,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,82,pcs,110.06,9024.92
SO-2024-0080-L02,SO-2024-0080,2,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,106,pcs,396.14,41990.84
SO-2024-0080-L03,SO-2024-0080,3,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,114,kg,4.25,484.5
SO-2024-0080-L04,SO-2024-0080,4,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,117,pcs,20.15,2357.55
SO-2024-0080-L05,SO-2024-0080,5,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,97,kg,4.75,460.75
SO-2024-0081-L01,SO-2024-0081,1,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,98,kg,3.9,382.2
SO-2024-0081-L02,SO-2024-0081,2,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,59,pcs,16.5,973.5
SO-2024-0081-L03,SO-2024-0081,3,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,37,pcs,98.11,3630.07
SO-2024-0081-L04,SO-2024-0081,4,RAW-4403,Copper Busbar 40×4mm,Raw Materials,24,m,23.49,563.76
SO-2024-0082-L01,SO-2024-0082,1,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,100,pcs,107.95,10795.0
SO-2024-0082-L02,SO-2024-0082,2,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,108,pcs,149.55,16151.4
SO-2024-0083-L01,SO-2024-0083,1,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,116,MT,749.88,86986.08
SO-2024-0083-L02,SO-2024-0083,2,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,101,pcs,159.8,16139.8
SO-2024-0083-L03,SO-2024-0083,3,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,97,pcs,89.39,8670.83
SO-2024-0083-L04,SO-2024-0083,4,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,41,pcs,1830.12,75034.92
SO-2024-0084-L01,SO-2024-0084,1,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,113,MT,699.74,79070.62
SO-2024-0084-L02,SO-2024-0084,2,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,113,pcs,18.45,2084.85
SO-2024-0084-L03,SO-2024-0084,3,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,19,pcs,248.13,4714.47
SO-2024-0085-L01,SO-2024-0085,1,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,89,pcs,124.03,11038.67
SO-2024-0085-L02,SO-2024-0085,2,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,39,MT,692.61,27011.79
SO-2024-0085-L03,SO-2024-0085,3,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,39,kg,4.57,178.23
SO-2024-0085-L04,SO-2024-0085,4,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,44,pcs,413.72,18203.68
SO-2024-0085-L05,SO-2024-0085,5,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,49,pcs,380.24,18631.76
SO-2024-0085-L06,SO-2024-0085,6,RAW-4405,HDPE Rod 50mm dia,Raw Materials,116,m,12.86,1491.76
SO-2024-0086-L01,SO-2024-0086,1,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,32,kg,3.24,103.68
SO-2024-0086-L02,SO-2024-0086,2,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,63,pcs,367.27,23138.01
SO-2024-0087-L01,SO-2024-0087,1,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,101,pcs,36.65,3701.65
SO-2024-0087-L02,SO-2024-0087,2,RAW-4405,HDPE Rod 50mm dia,Raw Materials,91,m,12.49,1136.59
SO-2024-0088-L01,SO-2024-0088,1,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,49,kg,3.89,190.61
SO-2024-0088-L02,SO-2024-0088,2,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,41,pcs,243.91,10000.31
SO-2024-0088-L03,SO-2024-0088,3,RAW-4403,Copper Busbar 40×4mm,Raw Materials,80,m,21.89,1751.2
SO-2024-0088-L04,SO-2024-0088,4,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,90,pcs,364.67,32820.3
SO-2024-0088-L05,SO-2024-0088,5,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,33,pcs,158.83,5241.39
SO-2024-0089-L01,SO-2024-0089,1,RAW-4403,Copper Busbar 40×4mm,Raw Materials,37,m,20.32,751.84
SO-2024-0089-L02,SO-2024-0089,2,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,20,pcs,28.11,562.2
SO-2024-0089-L03,SO-2024-0089,3,RAW-4405,HDPE Rod 50mm dia,Raw Materials,100,m,14.58,1458.0
SO-2024-0090-L01,SO-2024-0090,1,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,115,pcs,399.36,45926.4
SO-2024-0090-L02,SO-2024-0090,2,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,60,kg,3.82,229.2
SO-2024-0090-L03,SO-2024-0090,3,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,14,MT,767.59,10746.26
SO-2024-0090-L04,SO-2024-0090,4,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,78,pcs,1778.79,138745.62
SO-2024-0090-L05,SO-2024-0090,5,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,56,pcs,169.83,9510.48
SO-2024-0090-L06,SO-2024-0090,6,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,58,pcs,95.82,5557.56
SO-2024-0091-L01,SO-2024-0091,1,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,113,pcs,14.85,1678.05
SO-2024-0091-L02,SO-2024-0091,2,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,60,kg,4.45,267.0
SO-2024-0091-L03,SO-2024-0091,3,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,72,kg,2.97,213.84
SO-2024-0091-L04,SO-2024-0091,4,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,116,pcs,1743.08,202197.28
SO-2024-0091-L05,SO-2024-0091,5,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,48,pcs,152.76,7332.48
SO-2024-0091-L06,SO-2024-0091,6,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,104,pcs,92.54,9624.16
SO-2024-0092-L01,SO-2024-0092,1,RAW-4405,HDPE Rod 50mm dia,Raw Materials,49,m,16.36,801.64
SO-2024-0092-L02,SO-2024-0092,2,RAW-4403,Copper Busbar 40×4mm,Raw Materials,109,m,23.16,2524.44
SO-2024-0092-L03,SO-2024-0092,3,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,23,pcs,1720.88,39580.24
SO-2024-0093-L01,SO-2024-0093,1,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,85,pcs,34.92,2968.2
SO-2024-0093-L02,SO-2024-0093,2,RAW-4403,Copper Busbar 40×4mm,Raw Materials,101,m,22.51,2273.51
SO-2024-0094-L01,SO-2024-0094,1,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,61,pcs,36.84,2247.24
SO-2024-0094-L02,SO-2024-0094,2,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,106,pcs,16.2,1717.2
SO-2024-0094-L03,SO-2024-0094,3,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,12,pcs,157.32,1887.84
SO-2024-0094-L04,SO-2024-0094,4,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,14,kg,4.14,57.96
SO-2024-0095-L01,SO-2024-0095,1,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,114,MT,698.13,79586.82
SO-2024-0095-L02,SO-2024-0095,2,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,81,kg,4.36,353.16
SO-2024-0096-L01,SO-2024-0096,1,RAW-4405,HDPE Rod 50mm dia,Raw Materials,46,m,15.63,718.98
SO-2024-0096-L02,SO-2024-0096,2,RAW-4403,Copper Busbar 40×4mm,Raw Materials,69,m,19.21,1325.49
SO-2024-0096-L03,SO-2024-0096,3,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,12,pcs,110.77,1329.24
SO-2024-0096-L04,SO-2024-0096,4,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,108,MT,770.92,83259.36
SO-2024-0096-L05,SO-2024-0096,5,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,48,pcs,259.12,12437.76
SO-2024-0097-L01,SO-2024-0097,1,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,72,kg,3.37,242.64
SO-2024-0097-L02,SO-2024-0097,2,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,25,pcs,16.91,422.75
SO-2024-0097-L03,SO-2024-0097,3,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,41,kg,4.23,173.43
SO-2024-0098-L01,SO-2024-0098,1,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,76,pcs,1853.51,140866.76
SO-2024-0098-L02,SO-2024-0098,2,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,41,pcs,153.82,6306.62
SO-2024-0099-L01,SO-2024-0099,1,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,49,pcs,155.86,7637.14
SO-2024-0099-L02,SO-2024-0099,2,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,88,pcs,119.45,10511.6
SO-2024-0099-L03,SO-2024-0099,3,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,55,MT,701.61,38588.55
SO-2024-0099-L04,SO-2024-0099,4,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,95,pcs,41.13,3907.35
SO-2024-0100-L01,SO-2024-0100,1,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,92,MT,772.12,71035.04
SO-2024-0100-L02,SO-2024-0100,2,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,16,kg,3.48,55.68
SO-2024-0100-L03,SO-2024-0100,3,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,59,kg,4.36,257.24
SO-2024-0101-L01,SO-2024-0101,1,RAW-4403,Copper Busbar 40×4mm,Raw Materials,22,m,19.24,423.28
SO-2024-0101-L02,SO-2024-0101,2,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,42,pcs,20.76,871.92
SO-2024-0101-L03,SO-2024-0101,3,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,17,pcs,235.38,4001.46
SO-2024-0101-L04,SO-2024-0101,4,RAW-4405,HDPE Rod 50mm dia,Raw Materials,74,m,17.01,1258.74
SO-2024-0102-L01,SO-2024-0102,1,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,97,pcs,99.82,9682.54
SO-2024-0102-L02,SO-2024-0102,2,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,57,pcs,33.1,1886.7
SO-2024-0102-L03,SO-2024-0102,3,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,97,kg,4.06,393.82
SO-2024-0102-L04,SO-2024-0102,4,RAW-4403,Copper Busbar 40×4mm,Raw Materials,61,m,22.88,1395.68
SO-2024-0102-L05,SO-2024-0102,5,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,101,pcs,121.2,12241.2
SO-2024-0102-L06,SO-2024-0102,6,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,62,kg,3.11,192.82
SO-2024-0103-L01,SO-2024-0103,1,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,61,pcs,1788.5,109098.5
SO-2024-0103-L02,SO-2024-0103,2,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,41,MT,760.03,31161.23
SO-2024-0103-L03,SO-2024-0103,3,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,69,pcs,113.46,7828.74
SO-2024-0104-L01,SO-2024-0104,1,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,75,pcs,417.37,31302.75
SO-2024-0104-L02,SO-2024-0104,2,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,96,MT,766.13,73548.48
SO-2024-0104-L03,SO-2024-0104,3,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,113,pcs,15.0,1695.0
SO-2024-0104-L04,SO-2024-0104,4,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,15,pcs,1878.94,28184.1
SO-2024-0105-L01,SO-2024-0105,1,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,58,pcs,146.86,8517.88
SO-2024-0105-L02,SO-2024-0105,2,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,69,pcs,228.7,15780.3
SO-2024-0105-L03,SO-2024-0105,3,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,54,pcs,21.96,1185.84
SO-2024-0105-L04,SO-2024-0105,4,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,52,pcs,1717.36,89302.72
SO-2024-0105-L05,SO-2024-0105,5,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,45,pcs,417.23,18775.35
SO-2024-0106-L01,SO-2024-0106,1,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,94,pcs,413.24,38844.56
SO-2024-0106-L02,SO-2024-0106,2,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,102,kg,4.33,441.66
